STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720137,04867, 20190317,   33.6,24,   28.9,24, 9999.9, 0, 1003.3,24,   8.1,24,   5.2,24,  15.0,  19.0,   41.9 ,  28.4 , 0.07G,999.9, 001000,
720137,04867, 20190318,   33.9,24,   28.1,24, 9999.9, 0, 1006.0,24,  10.0,24,   5.8,24,  13.0,  15.9,   43.3 ,  25.7 , 0.04G,999.9, 000000,
720137,04867, 20190319,   37.0,24,   27.2,24, 9999.9, 0, 1007.2,24,  10.0,24,   4.6,24,   8.9,  15.0,   50.9 ,  26.1 , 0.00G,999.9, 000000,
720137,04867, 20190320,   41.0,24,   35.9,24, 9999.9, 0,  998.1,24,   8.3,24,   6.6,24,  11.1, 999.9,   47.3 ,  37.8 , 0.07G,999.9, 010000,
720137,04867, 20190321,   40.3,24,   36.7,24, 9999.9, 0,  993.4,24,   9.0,24,   7.4,24,  13.0,  18.1,   46.8 ,  36.5 , 0.08G,999.9, 010000,
720137,04867, 20190322,   40.7,24,   32.0,24, 9999.9, 0,  995.7,24,  10.0,24,   7.6,24,  11.1,  17.1,   51.1 ,  32.0 , 0.00G,999.9, 000000,
720137,04867, 20190323,   36.8,24,   27.3,24, 9999.9, 0, 1003.8,24,   9.3,24,   3.5,24,   8.0, 999.9,   52.7 ,  25.5 , 0.00I,999.9, 000000,
720137,04867, 20190324,   44.4,24,   35.8,24, 9999.9, 0,  999.0,24,  10.0,24,   4.3,24,   7.0, 999.9,   51.1 ,  40.5 , 0.09A,999.9, 010000,
720137,04867, 20190325,   40.2,24,   30.4,24, 9999.9, 0, 1000.5,24,   9.5,24,   7.4,24,   9.9,  19.0,   47.7 ,  34.0 ,99.99 ,999.9, 010000,
720137,04867, 20190326,   34.9,24,   14.9,24, 9999.9, 0, 1008.0,24,  10.0,24,   3.5,24,   7.0, 999.9,   49.5 ,  24.3 , 0.00I,999.9, 000000,
720137,04867, 20190327,   41.4,24,   21.2,24, 9999.9, 0, 1005.0,24,  10.0,24,   6.5,24,  18.1,  22.9,   60.1 ,  27.3 , 0.00I,999.9, 000000,
720137,04867, 20190328,   53.0,24,   42.1,24, 9999.9, 0,  996.0,24,  10.0,24,   8.9,24,  15.0,  19.0,   64.0 ,  45.5 , 0.07G,999.9, 010010,
720137,04867, 20190329,   50.6,24,   37.5,24, 9999.9, 0,  995.6,20,  10.0,24,   4.1,24,   8.9, 999.9,   60.8 ,  39.6 , 0.00G,999.9, 010000,
720137,04867, 20190330,   42.0,24,   36.2,24, 9999.9, 0,  990.5,23,   7.5,24,   6.3,24,  12.0,  20.0,   53.8 ,  37.9 , 0.69G,999.9, 010000,
720137,04867, 20190331,   32.2,24,   18.5,24, 9999.9, 0, 1001.6,20,  10.0,24,   7.0,24,  12.0,  20.0,   39.9 ,  23.7 , 0.00G,999.9, 000000,
720137,04867, 20190401,   35.4,24,   23.8,24, 9999.9, 0, 1004.3,24,  10.0,24,   7.6,24,  19.0,  25.1,   49.6 ,  24.6 , 0.00I,999.9, 000000,
720137,04867, 20190402,   42.8,24,   32.5,24, 9999.9, 0,  996.1,24,  10.0,24,  10.4,24,  18.1,  24.1,   54.7 ,  34.7 , 0.00I,999.9, 000000,
720137,04867, 20190403,   43.4,24,   29.8,24, 9999.9, 0, 1000.4,24,  10.0,24,   6.3,24,  12.0,  15.9,   59.0 ,  29.7 , 0.00I,999.9, 000000,
720137,04867, 20190404,   46.6,24,   41.4,24, 9999.9, 0, 1004.1,24,   8.6,24,   7.0,24,  18.1,  22.9,   54.1 ,  43.0 , 0.17G,999.9, 010000,
720137,04867, 20190405,   44.8,24,   43.2,24, 9999.9, 0,  998.0,24,   6.2,24,   5.2,24,  15.0,  20.0,   53.6 ,  40.5 , 0.12G,999.9, 010000,
720137,04867, 20190406,   50.7,24,   45.8,24, 9999.9, 0,  998.4,24,   5.3,24,   4.0,24,  13.0,  19.0,   68.9 ,  35.2 , 0.00G,999.9, 100000,
720137,04867, 20190407,   57.7,24,   52.1,24, 9999.9, 0,  991.9,24,   9.2,24,   6.4,24,  15.9,  20.0,   71.6 ,  51.4 , 0.14A,999.9, 010000,
720137,04867, 20190408,   59.7,24,   49.6,24, 9999.9, 0,  989.5,24,   9.4,24,   5.9,24,  14.0,  19.0,   73.8 ,  46.8 , 0.00I,999.9, 000000,
720137,04867, 20190409,   57.7,24,   38.8,24, 9999.9, 0,  989.4,24,  10.0,24,   7.9,24,  15.9,  22.0,   68.4 ,  41.4 , 0.00I,999.9, 000000,
720137,04867, 20190410,   43.3,24,   34.0,24, 9999.9, 0,  992.8,24,   9.6,24,   7.7,24,  18.1,  24.1,   61.9 ,  36.5 , 0.17B,999.9, 010000,
720137,04867, 20190411,   48.2,24,   38.5,24, 9999.9, 0,  984.8,24,  10.0,24,  15.4,24,  21.0,  27.0,   72.0 ,  40.1 , 0.00I,999.9, 000000,
720137,04867, 20190412,   51.6,24,   38.4,24, 9999.9, 0,  982.9,24,  10.0,24,  15.5,24,  26.0,  34.0,   70.9 ,  40.3 , 0.12G,999.9, 010000,
720137,04867, 20190413,   42.0,24,   26.6,24, 9999.9, 0,  996.0,24,  10.0,24,   9.1,24,  17.1,  22.9,   54.1 ,  32.0 , 0.00G,999.9, 000000,
720137,04867, 20190414,   37.7,24,   31.7,24, 9999.9, 0,  988.6,24,   6.9,24,   7.0,24,  15.9,  20.0,   50.0 ,  32.2 , 0.08G,999.9, 011000,
720137,04867, 20190415,   37.0,24,   30.3,24, 9999.9, 0,  992.6,24,   9.3,24,   7.4,24,  12.0,  17.1,   54.5 ,  26.4 , 0.41G,999.9, 011000,
720137,04867, 20190416,   56.6,24,   44.6,24, 9999.9, 0,  992.2,24,  10.0,24,   8.6,24,  13.0,  17.1,   73.8 ,  46.0 , 0.00G,999.9, 000000,
720137,04867, 20190417,   60.6,24,   49.8,24, 9999.9, 0,  989.6,24,   9.0,24,   8.1,24,  21.0,  27.0,   78.1 ,  47.7 , 0.00I,999.9, 000000,
720137,04867, 20190418,   57.6,24,   52.3,24, 9999.9, 0,  981.7,24,   8.4,24,  11.8,24,  18.1,  26.0,   73.6 ,  47.1 , 0.17G,999.9, 010010,
720137,04867, 20190419,   47.2,24,   36.9,24, 9999.9, 0,  987.6,24,  10.0,24,   9.0,24,  15.9,  26.0,   56.7 ,  42.8 , 0.33G,999.9, 000000,
720137,04867, 20190420,   49.4,24,   23.6,24, 9999.9, 0,  988.8,24,  10.0,24,   7.7,24,  12.0,  22.0,   66.9 ,  35.6 , 0.00G,999.9, 000000,
720137,04867, 20190421,   57.8,24,   31.5,24, 9999.9, 0,  992.3,24,  10.0,24,   5.7,24,  14.0,  19.0,   78.8 ,  41.2 , 0.00I,999.9, 000000,
